a-d-sync	Altos Design Synchronization protocol
sallingclicker	Salling Clicker Service
salutafugijms	Salutafugi Peer-To-Peer Java Message Service Implementation
sandvox	Sandvox
sc-golf	StrawberryCat Golf Protocol
scanner	Bonjour Scanning
schick	Schick
scone	Scone
scpi-raw	IEEE 488.2 (SCPI) Socket
scpi-telnet	IEEE 488.2 (SCPI) Telnet
sdsharing	Speed Download
see	SubEthaEdit 2
seeCard	seeCard
senteo-http	Senteo Assessment Software Protocol
sentillion-vlc	Sentillion Vault System
sentillion-vlt	Sentillion Vault Systems Cluster
sepvsync	SEPV Application Data Synchronization Protocol
serendipd	serendiPd Shared Patches for Pure Data
servereye	ServerEye AgentContainer Communication Protocol
servermgr	Mac OS X Server Admin
services	DNS Service Discovery
sessionfs	Session File Sharing
sflow	sFlow traffic monitoring
sftp-ssh	Secure File Transfer Protocol over SSH
shell	like exec, but automatic authentication is performed as for login server.
shifter	Window Shifter server protocol
shipsgm	Swift Office Ships
shipsinvit	Swift Office Ships
shoppersync	SplashShopper Synchronization Service
shoutcast	Nicecast
simmon	Medical simulation patient monitor syncronisation protocol
simusoftpong	simusoftpong iPhone game protocol
sip	Session Initiation Protocol, signalling protocol for VoIP
sipuri	Session Initiation Protocol Uniform Resource Identifier
sironaxray	Sirona Xray Protocol
skype	Skype
sleep-proxy	Sleep Proxy Server
slimcli	SliMP3 Server Command-Line Interface
slimhttp	SliMP3 Server Web Interface
smartenergy	Smart Energy Profile
smb	Server Message Block over TCP/IP
sms	Short Text Message Sending and Delivery Status Service
soap	Simple Object Access Protocol
socketcloud	Socketcloud distributed application framework
sox	Simple Object eXchange
sparechange	SpareChange data sharing protocol
spearcat	sPearCat Host Discovery
spike	Shared Clipboard Protocol
spincrisis	Spin Crisis
spl-itunes	launchTunes
spr-itunes	netTunes
splashsync	SplashData Synchronization Service
ssh	SSH Remote Login Protocol
ssscreenshare	Screen Sharing
strateges	Strateges
sge-exec	Sun Grid Engine (Execution Host)
sge-qmaster	Sun Grid Engine (Master)
souschef	SousChef Recipe Sharing Protocol
sparql	SPARQL Protocol and RDF Query Language
stanza	Lexcycle Stanza service for discovering shared books
stickynotes	Sticky Notes
submission	Message Submission
supple	Supple Service protocol
surveillus	Surveillus Networks Discovery Protocol
svn	Subversion
swcards	Signwave Card Sharing Protocol
switcher	Wireless home control remote control protocol
swordfish	Swordfish Protocol for Input/Output
sxqdea	Synchronize! Pro X
sybase-tds	Sybase Server
syncopation	Syncopation Synchronization Protocol by Sonzea
syncqdea	Synchronize! X Plus 2.0
synergy	Synergy Peer Discovery
synksharing	SynkSharing synchronization protocol
taccounting	Data Transmission and Synchronization
tango	Tango Remote Control Protocol
tapinoma-ecs	Tapinoma Easycontact receiver
taskcoachsync	Task Coach Two-way Synchronization Protocol for iPhone
tbricks	tbricks internal protocol
tcode	Time Code
tcu	Tracking Control Unit by RPM-PSI
te-faxserver	TE-SYSTEMS GmbH Fax Server Daemon
teamlist	ARTIS Team Task
teleport	teleport
telnet	Telnet
tera-fsmgr	Terascala Filesystem Manager Protocol
tera-mp	Terascala Maintenance Protocol
tf-redeye	ThinkFlood RedEye IR bridge
tftp	Trivial File Transfer
thumbwrestling	tinkerbuilt Thumb Wrestling game
ticonnectmgr	TI Connect Manager Discovery Service
timbuktu	Timbuktu
tinavigator	TI Navigator Hub 1.0 Discovery Service
tivo-hme	TiVo Home Media Engine Protocol
tivo-music	TiVo Music Protocol
tivo-photos	TiVo Photos Protocol
tivo-remote	TiVo Remote Protocol
tivo-videos	TiVo Videos Protocol
todogwa	2Do Sync Helper Tool for Mac OS X and PCs
tomboy	Tomboy
toothpicserver	ToothPics Dental Office Support Server
touch-able	iPhone and iPod touch Remote Controllable
touch-remote	iPhone and iPod touch Remote Pairing
tri-vis-client	triCerat Simplify Visibility Client
tri-vis-server	triCerat Simplify Visibility Server
tryst	Tryst
tt4inarow	Trivial Technology's 4 in a Row
ttcheckers	Trivial Technology's Checkers
ttp4daemon	TechTool Pro 4 Anti-Piracy Service
tunage	Tunage Media Control Service
tuneranger	TuneRanger
ubertragen	Ubertragen
uddi	Universal Description, Discovery and Integration
uddi-inq	Universal Description, Discovery and Integration Inquiry
uddi-pub	Universal Description, Discovery and Integration Publishing
uddi-sub	Universal Description, Discovery and Integration Subscription
uddi-sec	Universal Description, Discovery and Integration Security
upnp	Universal Plug and Play
urlbookmark	URL Advertising
uswi	Universal Switching Corporation products
utest	uTest
uwsgi	Unbit Web Server Gateway Interface
ve-decoder	American Dynamics VideoEdge Decoder Control Service
ve-encoder	American Dynamics VideoEdge Encoder Control Service
ve-recorder	American Dynamics VideoEdge Recorder Control Service
visel	visel Q-System services
volley	Volley
vos	Virtual Object System (using VOP/TCP)
vue4rendercow	VueProRenderCow
vxi-11	VXI-11 TCP/IP Instrument Protocol
walkietalkie	Walkie Talkie
we-jell	Proprietary collaborative messaging protocol
webdav	World Wide Web Distributed Authoring and Versioning (WebDAV)
webdavs	WebDAV over SSL/TLS
webissync	WebIS Sync Protocol
wedraw	weDraw document sharing protocol
whamb	Whamb
whistler	Honeywell Video Systems
wired	Wired Server
witap	WiTap Sample Game Protocol
witapvoice	witapvoice
wkgrpsvr	Workgroup Server Discovery
workstation	Workgroup Manager
wormhole	Roku Cascade Wormhole Protocol
workgroup	Novell collaboration workgroup
writietalkie	Writie Talkie Data Sharing
ws	Web Services
wtc-heleos	Wyatt Technology Corporation HELEOS
wtc-qels	Wyatt Technology Corporation QELS
wtc-rex	Wyatt Technology Corporation Optilab rEX
wtc-viscostar	Wyatt Technology Corporation ViscoStar
wtc-wpr	Wyatt Technology Corporation DynaPro Plate Reader
wwdcpic	PictureSharing sample code
x-on	x-on services synchronisation protocol
x-plane9	x-plane9
xcodedistcc	Xcode Distributed Compiler
xgate-rmi	xGate Remote Management Interface
xgrid	Xgrid
xmms2	XMMS2 IPC Protocol
xmp	Xperientia Mobile Protocol
xmpp-client	XMPP Client Connection
xmpp-server	XMPP Server Connection
xsanclient	Xsan Client
xsanserver	Xsan Server
xsansystem	Xsan System
xserveraid	XServe Raid
xsync	Xserve RAID Synchronization
xtimelicence	xTime License
xtshapro	xTime Project
xul-http	XUL (XML User Interface Language) transported over HTTP
yakumo	Yakumo iPhone OS Device Control Protocol
